product_name,category_large,category_medium,item_type,grocery_item_name,brand_name,processed_grocery_item_name,is_augmented
[대상웰라이프] 마이밀 한입쏙쏙 프로틴바 15입,간식류,과자/스낵,SNACK,프로틴바,대상웰라이프,스낵바,0
[비달] 오션 젤리 32개입,간식류,초콜릿/사탕,SNACK,젤리,비달,젤리,0
[올가] 국산 통밀 크리스피 크래커 3종 (택1),간식류,과자/스낵,SNACK,크래커,올가,크래커,0
[25-26 햇올리브][이리아다] 얼리 하베스트 엑스트라 버진 오일 500mL,조미료,식용유/기름,SAUCE_SEASONING,올리브오일,이리아다,올리브오일,0
[하리보] 미니스 젤리 5종 (택1) (개별포장),간식류,초콜릿/사탕,SNACK,젤리,하리보,젤리,0
[마정기름집] 100% 통깨 햇참기름 2종 (택1),조미료,식용유/기름,SAUCE_SEASONING,참기름,마정기름집,참기름,0
[프로틴플러스프로젝트] 프로틴 케이크 6종 (택1),간식류,디저트/케이크,BAKERY,프로틴 케이크,프로틴 플러스 프로젝트,케이크,0
[26년 설] [CU 픽업] 조니워커블루750ml,술,기타 주류,ALCOHOL,위스키,조니워커,위스키,0
[CU 픽업] 기원배치7 CS 700ml,술,기타 주류,ALCOHOL,위스키,,위스키,0
[밀라] 마스카포네 치즈 250g,유제품,치즈,DAIRY,치즈,밀라,기타 치즈,0
[주전부리마켓] 전주가맥 바삭한 먹태채 40g (소스증정),수산물,멸치/건어물,DRIED_SEAFOOD,먹태,주전부리마켓,먹태,0
"포크밸리 등갈비 찜용 / 구이용 (냉장), 1kg, 1개 16%34,000원 28,490원 (100g당 2,849원) 내일(일) 새벽 도착 보장 5 (18853) 최대 1,425원 적립",육류/계란,돼지고기,RAW_MEAT,등갈비,포크벨리,등갈비,0
[면사랑] 조랭이떡 500g (지퍼백),간식류,떡,SNACK,조랭이떡,면사랑,조랭이떡,0
"팜에이트 파채 120g + 무침소스 30g 세트, 150g, 1세트 2,490원 (100g당 1,660원) 내일(일) 새벽 도착 보장 5 (775) 최대 125원 적립",채소/곡물류,채소,RAW_PRODUCE,파채,팜에이트,대파,0
미니오이 5입,채소/곡물류,채소,RAW_PRODUCE,오이,,오이,0
"곰표 박력 밀가루, 2.5kg, 2개 8,200원 (10g당 16원) 내일(일) 도착 보장 5 (18370) 최대 410원 적립",조미료,가루분말,SAUCE_SEASONING,밀가루,곰표,밀가루,0
[마음이가] 우리쌀 조랭이떡 500g,간식류,떡,SNACK,조랭이떡,마음이가,조랭이떡,0
[허쉬] 바나나핫초코 원컵 (30g X 4개),유제품,우유/두유,DAIRY,초코우유,허쉬,가공우유,0
"오뚜기 옛날 조청 쌀엿, 1.2kg, 1개 5,670원 (100g당 473원) 내일(일) 새벽 도착 보장 5 (1998) 최대 284원 적립",조미료,양념/소스,SAUCE_SEASONING,조청,오뚜기,조청,0
[종가] 맛김치 900g,간편식,반찬류,SIMPLE_PROCESSED,배추김치,종가,배추김치,0
[샘표] 순작 우리아이 첫 작두콩차 (2g X 15개),음료,커피/차,BEVERAGE,작두콩차,샘표,기타 음료(차),0
[BBQ] 오븐구이 닭다리살 (허브솔트) 300g,간편식,냉동식품,FROZEN_MEAL,냉동 치킨,BBQ,냉동 치킨,0
[더플랜] 목련 어묵 우동 3종 (1인분/2인분)(택1),수산물,어육가공식품,SIMPLE_PROCESSED,어묵,더플랜,어묵,0
[CU 픽업] 다카라 오키나와 파인애플,술,기타 주류,ALCOHOL,리큐르,,리큐르,0
"오뚜기 톡톡톡 진라면 스틱 매운맛 10p, 50g, 3개 10%10,140원 9,050원 (100g당 6,033원) 내일(일) 도착 보장 4.5 (115) 최대 453원 적립",간식류,과자/스낵,SNACK,진라면 스틱,오뚜기,기타 과자/스낵,0
"MYCHEF 놀부 부대찌개 밀키트 2인분, 582g, 1개 14,900원 (100g당 2,560원) 내일(일) 새벽 도착 보장 4.5 (10730) 최대 745원 적립",간편식,밀키트,RTC_MEAL,밀키트,MYCHEF,밀키트,0
[KF365] 호주산 소고기 부채살 스테이크 300g(냉장),육류/계란,소고기,RAW_MEAT,부채살,KF365,부채살,0
"농심 누룽지팝, 142g, 6개 14,640원 (10g당 172원) 내일(일) 도착 보장 5 (22983) 최대 732원 적립",간식류,과자/스낵,SNACK,누룽지,농심,누룽지,0
[풀무원] 국산콩 수제두부,채소/곡물류,콩/두부,SIMPLE_PROCESSED,두부,풀무원,두부,0
"풀무원자연건면 로스팅 서울 짜장 99g, 4개 할인24%5,450원 4,140원 (1개당 1,035원) 내일(일) 새벽 도착 보장 4.5 (151) 최대 207원 적립",간편식,라면,INSTANT,로스팅 서울 짜장,풀무원,짜장라면,0
"신선함을 그대로 엘로우믹스 샐러드, 80g, 5팩 11,900원 (100g당 2,975원) 내일(일) 새벽 도착 보장 4.5 (22866) 최대 534원 적립",간편식,샐러드팩,RTC_MEAL,샐러드,,샐러드,0
"친환경 국내산 팽이버섯, 360g, 2개 2,010원 (100g당 279원) 내일(일) 새벽 도착 보장 5 (12738) 최대 100원 적립",채소/곡물류,버섯,RAW_PRODUCE,팽이버섯,,팽이버섯,0
[쉐푸드] 묵은지 참치 김밥,간편식,즉석밥,INSTANT,즉석 김밥,쉐푸드,즉석 김밥,0
"오타후쿠 스시스 초밥용 식초, 500ml, 1개 6,260원 (10ml당 125원) 내일(일) 도착 보장 새 상품, 반품-미개봉 (19) 최저5,940원 5 (5192) 최대 313원 적립",조미료,양념/소스,SAUCE_SEASONING,식초,오타후쿠 스시스,식초,0
"커피빈 아메리카노, 1L, 1개 3,510원 (100ml당 351원) 내일(일) 새벽 도착 보장 5 (4666) 최대 175원 적립",음료,커피/차,BEVERAGE,커피,커피빈,커피,0
[하이포크] 저탄소 인증 한돈 목살 구이용 500g (냉장),육류/계란,돼지고기,RAW_MEAT,돼지 목살,하이포크,목살,0
[앤디스] 토피 크런치 초콜릿 132g,간식류,초콜릿/사탕,SNACK,초콜릿,앤디스,초콜릿,0
"청정원 조청쌀엿, 700g, 1개 3,970원 (100g당 567원) 내일(일) 도착 보장 5 (8761) 최대 199원 적립",조미료,양념/소스,SAUCE_SEASONING,조청,청정원,조청,0
"주일 완도 명품 자른다시마, 1개, 100g 3,480원 (100g당 3,480원) 내일(일) 새벽 도착 보장 5 (5892) 최대 174원 적립",수산물,미역/다시마,DRIED_SEAFOOD,다시마,주일 완도,다시마,0
[우오가시] 민물 양념장어,간편식,밀키트,RTC_MEAL,밀키트,우오가시,밀키트,0
"국내산 베이비 브로콜리, 150g, 2개 7,740원 (100g당 2,580원) 내일(일) 새벽 도착 보장 4.5 (1406) 최대 387원 적립",채소/곡물류,채소,RAW_PRODUCE,브로콜리,,브로콜리,0
"매일우유 오리지널, 900ml, 2개 5,720원 (100ml당 318원) 내일(일) 새벽 도착 보장 5 (239437) 최대 286원 적립",유제품,우유/두유,DAIRY,우유,매일,우유,0
"남양유업 우유 듬뿍 초코에몽, 6개, 200ml 9,240원 (100ml당 770원) 내일(일) 새벽 도착 보장 5 (460) 최대 462원 적립",유제품,우유/두유,DAIRY,초코우유,남양,가공우유,0
친환경 GAP 삼색 느타리버섯 1팩,채소/곡물류,버섯,RAW_PRODUCE,느타리버섯,,느타리버섯,0
[해태] 구운감자 슬림 240g,간식류,과자/스낵,SNACK,구운감자,해태,감자칩,0
[브레댄코] 얼그레이케이크 440g,간식류,디저트/케이크,BAKERY,케이크,브레댄코,케이크,0
"중앙씨푸드 국산 숨굴 (냉동), 350g, 1개 5,990원 (100g당 1,711원) 내일(일) 새벽 도착 보장 4.5 (3873) 최대 300원 적립",수산물,조개/전복,RAW_SEAFOOD,굴,중앙씨푸드,굴,0
[올리] 100% 메밀면 4입번들,채소/곡물류,면류,GRAIN,메밀면,올리,메밀면,0
[매일] 바이오 드링킹 요구르트 3종 (250mL X 4개) (택1),유제품,요거트,DAIRY,요구르트,매일,요구르트,0
[수산곳간] 국산 오징어 맥반석구이,간식류,과자/스낵,SNACK,오징어 구이,수산곳간,기타 과자/스낵,0
[시루조아] 백설기 2종(택1),간식류,떡,SNACK,백설기,시루조아,백설기,0
[자연담은] 완두콩 1kg,채소/곡물류,콩/두부,SIMPLE_PROCESSED,완두콩,자연담은,콩,0
[바오담] 수제 팥앙금 200g,조미료,양념/소스,SAUCE_SEASONING,팥앙금,바오담,기타 소스,0
[데르뜨] 허쉬 초코퍼지 마들렌&휘낭시에 2종 (택1),간식류,빵류,BAKERY,휘낭시에,데르뜨,기타 빵류,0
[파브리 셰프] 새우 레몬 크림 파스타,수산물,새우/게,RAW_SEAFOOD,새우,파브리 셰프,새우,0
[허브&스파이스마켓] 마늘분태 (마늘그래뉼)45g,조미료,가루분말,SAUCE_SEASONING,갈릭파우더,허브&스파이스마켓,갈릭파우더,0
[진가네반찬] 미역줄기 볶음,간편식,반찬류,SIMPLE_PROCESSED,미역줄기 볶음,진가네반찬,기타 반찬류,0
[베지밀] 달콤한 B 검은콩 두유 (190mL X 24개),유제품,우유/두유,DAIRY,두유,베지밀,두유,0
"갈아만든배 저칼로리, 340ml, 24개 34%19,800원 12,880원 (100ml당 158원) 내일(일) 도착 보장 5 (1922) 최대 644원 적립",음료,주스,BEVERAGE,갈아만든 배,해태,기타 주스,0
[동원] 딤섬 부추창펀 (390gX2봉),간편식,냉동식품,FROZEN_MEAL,냉동 만두,동원,냉동 만두,0
[잭스허니] MGO 83+모노플로랄 마누카꿀 레몬맛 2종 (택1) (쇼핑백 별도구매),조미료,양념/소스,SAUCE_SEASONING,꿀,잭스허니,꿀,0
"머거본 볶음땅콩, 300g, 3개 11,870원 (100g당 1,319원) 내일(일) 새벽 도착 보장 5 (809) 최대 594원 적립",간식류,과자/스낵,SNACK,볶음땅콩,머거본,기타 과자/스낵,0
"도드람한돈 무항생제 인증 미박 뒷다리 불고기용 (냉장), 1개, 500g 7,800원 (100g당 1,560원) 내일(일) 새벽 도착 보장 4.5 (140) 최대 390원 적립",육류/계란,소고기,RAW_MEAT,불고기,도드람한돈,불고기,0
[미자언니네] 시골두부조림,간편식,레트로트,RTC_MEAL,레트로트,미자언니네,레트로트,0
"설탕대신 알룰로스 메이플 시럽, 525g, 1개 22%9,980원 7,750원 (100g당 1,476원) 내일(일) 도착 보장 5 (70) 최대 349원 적립",조미료,양념/소스,SAUCE_SEASONING,메이플 시럽,,메이플시럽,0
오이맛고추 150g,채소/곡물류,채소,RAW_PRODUCE,오이고추,,오이고추,0
"고소한 내장 한입 통찜용 오징어 4~7개입 (냉동), 500g, 1개 9,500원 (100g당 1,900원) 내일(일) 새벽 도착 보장 4.5 (450) 최대 425원 적립",수산물,오징어/문어,RAW_SEAFOOD,오징어,,오징어,0
[목우촌목장] 국내산 소고기 안심 200g,육류/계란,소고기,RAW_MEAT,소 안심,목우촌목장,소 안심,0
"해표 사과식초, 1.8L, 1개 24%4,740원 3,570원 (10ml당 20원) 내일(일) 도착 보장 5 (1790) 최대 179원 적립",조미료,양념/소스,SAUCE_SEASONING,식초,해표,식초,0
"햇반 스팸 김치 주먹밥 (냉동), 500g, 1개 11%8,980원 7,980원 (100g당 1,596원) 내일(일) 새벽 도착 보장 5 (2955) 최대 399원 적립",간편식,즉석밥,INSTANT,즉석 주먹밥,햇반,즉석 주먹밥,0
[상하치즈] 리코타치즈 150g,유제품,치즈,DAIRY,리코타 치즈,상하치즈,리코타 치즈,0
"만전김 유기가공식품 인증 할아버지가 만든 김, 56g, 1개 10,590원 (10g당 1,891원) 내일(일) 도착 보장 5 (2097) 최대 530원 적립",상온식품,김/자반,DRIED_SEAFOOD,김,만전김,김,0
[CU 픽업] 디카이퍼바나나,술,기타 주류,ALCOHOL,리큐르,,리큐르,0
[경주천년한우] 1++ 한우 불고기용 200g (냉장),육류/계란,소고기,RAW_MEAT,불고기,경주천년한우,불고기,0
[미자언니네] 황태곰탕,간편식,레트로트,RTC_MEAL,레트로트,미자언니네,레트로트,0
"일리 클래식 로스트 디카페인 미니 원두커피스틱, 1g, 30개입, 2개 14,100원 (10g당 2,350원) 내일(일) 도착 보장 5 (7518) 최대 705원 적립",음료,커피/차,BEVERAGE,커피가루,일리,커피,0
[브레댄코] 레인보우케이크 680g,간식류,디저트/케이크,BAKERY,케이크,브레댄코,케이크,0
[성지농장] 저탄소/동물복지 인증 한돈 항정살 300g (냉장),육류/계란,돼지고기,RAW_MEAT,항정살,성지농장,항정살,0
"도드람한돈 1등급 등심 카레용 (냉장), 500g, 1개 10,340원 (100g당 2,068원) 내일(일) 새벽 도착 보장 5 (17399) 최대 517원 적립",육류/계란,돼지고기,RAW_MEAT,돼지 등심,도드람한돈,돼지 등심,0
[지리산처럼] 행복한 정은씨의 햇참기름 160mL,조미료,식용유/기름,SAUCE_SEASONING,참기름,지리산처럼,참기름,0
"자연애찬 동물복지 무항생제 유정란, 15구, 1개 7,990원 (1구당 533원) 내일(일) 새벽 도착 보장 4.5 (35991) 최대 400원 적립",육류/계란,계란,RAW_MEAT,계란,자연애찬,계란,0
"[농협] [25년산 햇곡] 강원 신림농협 국산 적두 (팥), 1개 18%23,000원 18,780원 (100g당 3,756원) 내일(일) 도착 보장 새 상품, 반품-미개봉 (2) 최저15,980원 4.5 (141) 최대 799원 적립",채소/곡물류,쌀/잡곡,GRAIN,팥,농협,팥,0
[오설록] 바닐라 허니 블랙티 티백 (1.5g X 20개),음료,커피/차,BEVERAGE,블랙티,오설록,홍차,0
"호우섬 홍콩 밀크티, 350ml, 6개 19%13,800원 11,100원 (100ml당 529원) 내일(일) 도착 보장 4.5 (1699) 최대 527원 적립",유제품,우유/두유,DAIRY,밀크티,호우섬,기타 유음료,0
[만토바] 비보 오가닉 엑스트라버진 스프레이 200mL,조미료,식용유/기름,SAUCE_SEASONING,올리브오일,만토바,올리브오일,0
[수산곳간] 반건조한치 70g,수산물,오징어/문어,RAW_SEAFOOD,한치,수산곳간,한치,0
[태극당] 모나카 아이스크림 3종 (60mL X 5개) (택1),간식류,디저트/케이크,BAKERY,아이스크림,태극당,아이스크림,0
[키토케토] 투투컷 혈당컷 알파CD CLA 애플사이다비니거 14포,조미료,양념/소스,SAUCE_SEASONING,애플사이다비니거,키토케토,사과식초,0
[선물세트] 자연산 왕새우 세트 1.3kg (특),수산물,새우/게,RAW_SEAFOOD,새우,,새우,0
"트레핀 커피맛 캔디, 500g, 1개 7,440원 (10g당 149원) 내일(일) 도착 보장 5 (36869) 최대 372원 적립",간식류,초콜릿/사탕,SNACK,커피사탕,트레핀,사탕(캔디),0
"스타벅스 아이스 아메리카노 캡슐커피, 5.5g, 12개입, 1개 7,990원 (10g당 1,211원) 내일(일) 도착 보장 5 (8373) 최대 400원 적립",음료,커피/차,BEVERAGE,커피캡슐,스타벅스,커피캡슐,0
[선물세트] 남도우애 무항생제 1++ 한우 프리미엄 모둠세트 1호 (예약일 수령),육류/계란,소고기,RAW_MEAT,소고기 모둠,남도우애,소고기 묶음,0
[광천해저김] 짜지않은 김 16봉,상온식품,김/자반,DRIED_SEAFOOD,김,광천해저김,김,0
"친환경 한끼 양파, 400g, 1개 2,140원 (100g당 535원) 내일(일) 새벽 도착 보장 5 (705) 최대 107원 적립",채소/곡물류,채소,RAW_PRODUCE,양파,,양파,0
[스위치온] 오붓티 붓기차 3종(택1),미등록 카테고리,기타,UNKNOWN,기타,스위치온,기타,0
"대구상회 햄프씨드, 500g, 1개 33%8,980원 5,980원 (100g당 1,196원) 내일(일) 도착 보장 4.5 (2460) 최대 299원 적립",채소/곡물류,쌀/잡곡,GRAIN,햄프씨드,대구상회,기타 잡곡,0
"해찬들 저당 쌈장, 290g, 1개 45%7,980원 4,380원 (100g당 1,510원) 내일(일) 도착 보장 5 (240) 최대 219원 적립",조미료,양념/소스,SAUCE_SEASONING,쌈장,해찬들,쌈장,0
"남양유업 불가리스 포도, 150ml, 4개입, 2개 8,810원 (10ml당 73원) 내일(일) 새벽 도착 보장 5 (15482) 최대 440원 적립",유제품,요거트,DAIRY,불가리스,남양,요구르트,0
[라비퀸] 매콤 까르보나라 떡볶이,간편식,밀키트,RTC_MEAL,밀키트,라비퀸,밀키트,0
[CU픽업] 탄타카탄시소우메슈,술,기타 주류,ALCOHOL,사케,,사케,0
"곰곰 맛술 매실&생강, 900ml, 1개 31%4,120원 2,830원 (10ml당 31원) 내일(일) 도착 보장 5 (3591) 최대 134원 적립",조미료,양념/소스,SAUCE_SEASONING,맛술,곰곰,맛술,0
[동서] 끓여먹는 차 5종 (택1),음료,커피/차,BEVERAGE,차,동서,기타 음료(차),0
"맥심 모카골드 부드러운 블랙 커피믹스, 2.7g, 100개입, 1개 4%15,900원 15,110원 (10g당 560원) 내일(일) 도착 보장 4.5 (24575) 최대 755원 적립",음료,커피/차,BEVERAGE,커피믹스,맥심,커피믹스,0
토굴 모과생강청 600g,조미료,양념/소스,SAUCE_SEASONING,모과생강청,토굴,기타 소스,0
[연경당] 피칸 강정 130g,간식류,과자/스낵,SNACK,강정,연경당,강정/한과,0
[올리타리아] 포도씨유 500mL,조미료,식용유/기름,SAUCE_SEASONING,포도씨유,올리타리아,포도씨유,0
"곰곰 신선한 저지방우유, 2.3L, 2개 9,560원 (100ml당 208원) 내일(일) 새벽 도착 보장 5 (44382) 최대 478원 적립",유제품,우유/두유,DAIRY,저지방 우유,곰곰,저지방 우유,0
[애슐리] 시그니처 등심 스테이크 200g(냉동),간편식,밀키트,RTC_MEAL,밀키트,애슐리,밀키트,0
[홈앤키즈] 구워만든 제주 유정란 쿠키 50g,간식류,과자/스낵,SNACK,쿠키,홈앤키즈,쿠키,0
"카누 바닐라 라떼 커피믹스, 17.3g, 24개입, 1개 10,570원 (10g당 255원) 내일(일) 새벽 도착 보장 5 (358) 최대 529원 적립",음료,커피/차,BEVERAGE,라떼 분말,카누 ,커피믹스,0
"이롬 황성주 박사의 국산콩 두유 검은콩 고칼슘, 190ml, 48개 50%53,800원 26,840원 (100ml당 294원) 내일(일) 도착 보장 5 (171169) 최대 1,342원 적립",유제품,우유/두유,DAIRY,두유,이롬,두유,0
[서울마님] 저당 곤약 떡볶이,간편식,밀키트,RTC_MEAL,밀키트,서울마님,밀키트,0
[데체코] 엑스트라버진 올리브 오일 2종 (택1),조미료,식용유/기름,SAUCE_SEASONING,올리브오일,데체코,올리브오일,0
[마이노멀] 방탄커피 (230mL X 6개),음료,커피/차,BEVERAGE,커피,마이노멀,커피,0
"무항생제 인증 제주 목초 우유, 750ml, 1개 4,900원 (100ml당 653원) 내일(일) 새벽 도착 보장 5 (1604) 최대 245원 적립",유제품,우유/두유,DAIRY,우유,,우유,0
[풍요한아침] 고명용 계란지단 (냉장) 350g,간편식,반찬류,SIMPLE_PROCESSED,계란지단,풍요한아침,기타 반찬류,0
[타르트팜] 버라이어티 타르트 세트 (60g X 6개입),간식류,디저트/케이크,BAKERY,타르트,타르트팜,타르트,0
[고래사] 야채가득 사각어묵 225g*2봉,수산물,어육가공식품,SIMPLE_PROCESSED,어묵,고래사,어묵,0
[하겐다즈] 아이스크림 바 5종 (80mL X 3개) (택1),간식류,디저트/케이크,BAKERY,아이스크림,하겐다즈,아이스크림,0
"설탕대신 스테비아, 400g, 1개 51%8,980원 4,400원 (100g당 1,100원) 내일(일) 도착 보장 5 (68245) 최대 220원 적립",조미료,조미료,SAUCE_SEASONING,스테비아,,스테비아,0
[바디랩] 서리태 순수두유 99.9 (190mL X 24개),유제품,우유/두유,DAIRY,두유,바디랩,두유,0
[야미요밀] 치아바타 3종 (택1),간식류,빵류,BAKERY,치아바타,야미요밀,치아바타,0
[디 바르베로] 레드 하트 틴 솔티드 카라멜 & 다크 잔두야 초콜릿 150g,간식류,초콜릿/사탕,SNACK,초콜릿,디 바르베로,초콜릿,0
[바름팜] 간편하게 손질한 깍뚝 무 300g,채소/곡물류,채소,RAW_PRODUCE,무,바름팜,무,0
"살맛나요 탱글탱글 요리하기 편한 절단 낙지 (냉장), 200g, 2개 11,460원 (10g당 287원) 내일(일) 새벽 도착 보장 4.5 (5354) 최대 573원 적립",수산물,오징어/문어,RAW_SEAFOOD,낙지,살맛나요,낙지,0
[비움반찬] 밥새우 호박씨볶음,간편식,반찬류,SIMPLE_PROCESSED,새우볶음,비움반찬,기타 반찬류,0
[진실된손맛] 한돈 육전 (냉동),간편식,반찬류,SIMPLE_PROCESSED,육전,진실된손맛,기타 반찬류,0
[지리산처럼] 행복한 정은씨의 고소한 들깨가루 150g,조미료,가루분말,SAUCE_SEASONING,들깨가루,지리산처럼,들깨가루,0
[거대곰탕] 곰탕,간편식,레트로트,RTC_MEAL,레트로트,거대곰탕,레트로트,0
[CU 픽업] 뛰느방 베이비 배드 보이,술,와인,ALCOHOL,레드 와인,,레드 와인,0
[청담동 피양옥] 이북식 만두,간편식,냉동식품,FROZEN_MEAL,냉동 만두,청담동 피양옥,냉동 만두,0
[벨로타벨로타] 이베리코 벨로타 하몽 50g (중),육류/계란,가공육(햄/소시지),PROCESSED_MEAT,하몽,벨로타벨로타,생햄,0
[스키피] 땅콩버터 462g 2종 (택1),유제품,버터/생크림,DAIRY,땅콩 버터,스키피,기타 유지류,0
"오뚜기 고소한 골드 마요네즈, 1kg, 1개 7,370원 (100g당 737원) 내일(일) 도착 보장 5 (56110) 최대 369원 적립",조미료,양념/소스,SAUCE_SEASONING,마요네즈,오뚜기,마요네즈,0
"곰곰 간편 누룽지, 30g, 12개 21%19,200원 14,990원 (100g당 4,164원) 내일(일) 도착 보장 5 (29177) 최대 750원 적립",간식류,과자/스낵,SNACK,누룽지,곰곰,누룽지,0
"미트엔조이 시즈닝 부채살 스테이크 (냉동), 1개, 150g 6,400원 (100g당 4,267원) 내일(일) 새벽 도착 보장 4.5 (585) 최대 320원 적립",간편식,밀키트,RTC_MEAL,밀키트,미트엔조이,밀키트,0
[해찬들]사계절쌈장500g,조미료,양념/소스,SAUCE_SEASONING,쌈장,해찬들,쌈장,0
"국내산 오징어슬라이스 (냉동), 300g, 1개 7,390원 (100g당 2,463원) 내일(일) 새벽 도착 보장 5 (19837) 최대 370원 적립",수산물,오징어/문어,RAW_SEAFOOD,오징어,,오징어,0
[리터스포트] 큐브 초콜릿 3종,간식류,초콜릿/사탕,SNACK,초콜릿,리터스포트,초콜릿,0
[쿠엔즈버킷] 국산 들기름 100mL (저온압착),조미료,식용유/기름,SAUCE_SEASONING,들기름,쿠엔즈버킷,들기름,0
"자연초 생율무가루, 300g, 1개 8,400원 (100g당 2,800원) 내일(일) 도착 보장 4.5 (3351) 최대 420원 적립",조미료,가루분말,SAUCE_SEASONING,율무가루,자연초,기타 가루분말,0
[CU 픽업] 라세니스몰배치,술,기타 주류,ALCOHOL,위스키,,위스키,0
[윤슬] 꼬리새우살 180g (냉장),수산물,새우/게,RAW_SEAFOOD,새우,윤슬,새우,0
[경주천년한우] 1++ 한우 안심 구이용 200g (냉장),육류/계란,소고기,RAW_MEAT,소 안심,경주천년한우,소 안심,0
"맥심 화이트골드 커피믹스 400T, 11.7g, 1개입, 400개 26%70,000원 51,170원 (10g당 109원) 2/11(수) 도착 예정 5 (302208) 최대 2,559원 적립",음료,커피/차,BEVERAGE,커피믹스,맥심,커피믹스,0
[켈로그] 프링글스 버터카라멜맛 110g,간식류,과자/스낵,SNACK,프링글스,켈로그,기타 과자/스낵,0
[바이탈뷰티] 슈퍼레티놀C 30포,기타,기타,UNKNOWN,기타,바이탈뷰티,기타,0
[CU 픽업] 러셀싱글배럴라이,술,기타 주류,ALCOHOL,위스키,,위스키,0
[집반찬연구소] 저당 양파 고추 장아찌,간편식,반찬류,SIMPLE_PROCESSED,고추장아찌,집반찬연구소,장아찌,0
[비스퀴테리 엠오] 쿠키 15입 세트 357g,간식류,과자/스낵,SNACK,쿠키,비스퀴테리 엠오,쿠키,0
[CU 픽업] 키쿠마사무네긴리치,술,기타 주류,ALCOHOL,사케,,사케,0
[선물세트] ASC인증 기장산 숙성미역,수산물,미역/다시마,DRIED_SEAFOOD,미역,,미역,0
[CU 픽업] 에반윌리엄스싱글배럴,술,기타 주류,ALCOHOL,위스키,,위스키,0
[KF365] 한돈 찜갈비 800g(냉장),육류/계란,돼지고기,RAW_MEAT,돼지갈비,KF365,돼지갈비,0
[도리깨침] 7가지 채소찜 시즌 2 (2인분/저당소스 포함),간편식,밀키트,RTC_MEAL,밀키트,도리깨침,밀키트,0
[하리보] 스타믹스 젤리 1kg (대용량),간식류,초콜릿/사탕,SNACK,젤리,하리보,젤리,0
